dtype,nome,email,salario,comissao,cnpj
VendedorAutonomo,Chad,cpenchenle@pbs.org,7773,13,
VendedorAutonomo,Delaney,dkensholelf@google.co.jp,5753,15,
VendedorAutonomo,Egbert,eaverieslg@washington.edu,637,6,
VendedorAutonomo,Nicholle,nreilinglh@gizmodo.com,2372,11,
VendedorProfissional,Aharon,aallcockli@blogtalkradio.com,4903,,32185350922971
VendedorAutonomo,Delmer,dmacpaiklj@ft.com,9403,15,
VendedorProfissional,June,joriellk@pinterest.com,3834,,14305869042246
VendedorProfissional,Chalmers,cmalletrattll@webs.com,1092,,49626865021797
VendedorAutonomo,Whitaker,wrichingslm@wiley.com,8234,14,
VendedorAutonomo,Simmonds,sgledhallln@mapquest.com,7744,2,
VendedorProfissional,Blinni,bpuckinghornelo@360.cn,9373,,60931072536509
VendedorAutonomo,Carlee,cnortheastlp@google.ca,6242,8,
VendedorAutonomo,Burgess,bfowldslq@networksolutions.com,6336,12,
VendedorAutonomo,Gage,guttersonlr@free.fr,5706,10,
VendedorAutonomo,Lorine,lfishlockls@ustream.tv,8435,6,
VendedorProfissional,Dee dee,drankmorelt@wikispaces.com,8136,,28335741526554
VendedorProfissional,Darcie,dfigginslu@123-reg.co.uk,1574,,59492352359211
VendedorProfissional,Maximo,mrockclifflv@msn.com,5956,,28647505077825
VendedorProfissional,Sibeal,swilllw@weibo.com,5217,,87014223932049
VendedorAutonomo,Ambrosio,asinnocklx@economist.com,2852,7,
VendedorProfissional,Ansel,arosenboimly@intel.com,7147,,42304961901530
VendedorProfissional,Estevan,emelialz@networksolutions.com,9521,,88254283159090
VendedorAutonomo,Tamqrah,tdinapolim0@cbslocal.com,749,15,
VendedorProfissional,Wang,wsullandm1@google.nl,7488,,67205299594815
VendedorProfissional,Joanna,jgoodingsm2@examiner.com,967,,53906187561877
VendedorAutonomo,Noach,ntudbaldm3@washingtonpost.com,505,11,
VendedorAutonomo,Mikaela,mpeintonm4@dedecms.com,2650,4,
VendedorProfissional,Rosy,rbatterbeem5@wunderground.com,666,,54654597697265
VendedorAutonomo,Constance,cmulreanm6@nationalgeographic.com,2047,3,
VendedorAutonomo,Loise,ldeamerm7@ed.gov,3577,5,
VendedorProfissional,Deena,dhissiem8@ow.ly,5486,,72833151911233
VendedorAutonomo,Antonetta,asuthrenm9@fc2.com,7608,5,
VendedorProfissional,Catlaina,cblissittma@skyrock.com,1469,,39895391402572
VendedorAutonomo,Bea,bgatleymb@chronoengine.com,5729,2,
VendedorAutonomo,Tate,tmandymc@vk.com,2108,9,
VendedorProfissional,Hestia,hjaynesmd@google.nl,8189,,28241870478520
VendedorAutonomo,Nettie,ndavidgeme@gov.uk,6436,8,
VendedorProfissional,Gaby,gdowermf@sfgate.com,6838,,64453974649920
VendedorAutonomo,Gayelord,gkevanemg@dot.gov,1154,5,
VendedorAutonomo,Roxine,rnewlingmh@gnu.org,6844,10,
VendedorAutonomo,Yulma,ydesousami@walmart.com,413,12,
VendedorProfissional,Ariel,aledrammj@dyndns.org,8690,,43142066455300
VendedorAutonomo,Brose,btuckwoodmk@examiner.com,9222,13,
VendedorProfissional,Gottfried,gscarsbrookml@irs.gov,4925,,42591414446064
VendedorProfissional,Jasun,jbodycombmm@com.com,1310,,90884315892906
VendedorProfissional,Dominick,ddawltreymn@nationalgeographic.com,6002,,56279710949098
VendedorProfissional,Verene,vpykemo@t-online.de,228,,90947898235959
VendedorProfissional,Merola,mlarrawaymp@ibm.com,1210,,55376102593170
VendedorAutonomo,Ab,acundymq@shareasale.com,6275,15,
VendedorAutonomo,Gunter,glinnmr@state.gov,6543,10,
VendedorProfissional,Gabbie,gsargeauntms@ebay.co.uk,6996,,57708040610268
VendedorAutonomo,Creight,cgiacobiliomt@biglobe.ne.jp,6941,14,
VendedorProfissional,Timmy,tfaggmu@economist.com,1670,,36426589871647
VendedorAutonomo,Daphne,dfarniemv@uiuc.edu,8420,5,
VendedorProfissional,Beryle,begleofgermanymw@pcworld.com,8349,,53471206088181
VendedorProfissional,Carla,cnafzigermx@chron.com,3610,,91343885519682
VendedorProfissional,Cilka,cgoliglymy@cbc.ca,5446,,22485497634535
VendedorProfissional,Naoma,nmaplesdenmz@cyberchimps.com,2437,,47339520087579
VendedorAutonomo,Evaleen,ehabbeshawn0@weebly.com,6547,7,
VendedorAutonomo,Barry,bohegertien1@360.cn,955,7,
VendedorProfissional,Jewelle,jsalmondn2@prnewswire.com,1626,,59186259751275
VendedorAutonomo,Kyle,kbuttrumn3@fotki.com,148,2,
VendedorProfissional,Ad,amatterfacen4@shareasale.com,6476,,74231605118401
VendedorAutonomo,Celene,cmidsonn5@bloomberg.com,4130,7,
VendedorAutonomo,Lulu,lhargerien6@t.co,8567,11,
VendedorProfissional,Matty,mwhiffinn7@addtoany.com,5589,,71434252961845
VendedorAutonomo,Elli,ecaseron8@shop-pro.jp,5276,13,
VendedorProfissional,Maury,mcornewalln9@nsw.gov.au,8977,,71859213602355
VendedorAutonomo,Avie,aashpolena@bbb.org,5472,1,
VendedorAutonomo,Hagen,hbritneynb@accuweather.com,5159,7,
VendedorAutonomo,Dedie,dmaccarrollnc@desdev.cn,1786,11,
VendedorProfissional,Tamarra,tgebbiend@amazon.co.uk,1070,,82284027787738
VendedorAutonomo,Izabel,iiczokvitzne@goodreads.com,6270,6,
VendedorAutonomo,Felix,fblampynf@pen.io,9809,4,
VendedorProfissional,Rafaelia,rchattelaineng@about.com,4302,,75507139481015
VendedorAutonomo,Kevin,krobacknh@marketwatch.com,6480,13,
VendedorProfissional,Carney,cpeaceni@mlb.com,4388,,41466457444808
VendedorProfissional,Irving,imcterrellynj@infoseek.co.jp,6381,,45244179628694
VendedorProfissional,Errol,echeyneynk@ehow.com,5923,,93338573426865
VendedorProfissional,Veronica,vbaacknl@pinterest.com,7459,,97509584544726
VendedorAutonomo,Nickey,nespinolanm@soundcloud.com,546,1,
VendedorAutonomo,Leone,lmoylernn@tiny.cc,8679,11,
VendedorProfissional,Sharlene,sashfieldno@salon.com,6672,,74669571706065
VendedorProfissional,Aliza,awinckworthnp@discovery.com,2552,,39616727413349
VendedorAutonomo,Nathalie,nsimisternq@comcast.net,1436,15,
VendedorProfissional,Adelbert,askyramnr@sohu.com,1415,,45829740567103
VendedorAutonomo,Leicester,lfarmloens@unblog.fr,23,7,
VendedorAutonomo,Ralph,rrehmnt@ehow.com,936,15,
VendedorProfissional,Colet,cottewillnu@scribd.com,7930,,87801235261284
VendedorAutonomo,Suzanna,sskeanv@typepad.com,4335,9,
VendedorAutonomo,Billy,bshadboltnw@domainmarket.com,9022,2,
VendedorAutonomo,Terrence,tmarchamnx@edublogs.org,2390,11,
VendedorAutonomo,Aidan,awillettsny@hhs.gov,4063,10,
VendedorProfissional,Benn,ballebonenz@wix.com,4726,,95933851504487
VendedorAutonomo,Celestyn,ctremolleto0@elegantthemes.com,5531,7,
VendedorProfissional,Kendell,kconechieo1@xrea.com,177,,57686765210467
VendedorProfissional,Damaris,dwhittleo2@nyu.edu,1178,,18896323480727
VendedorProfissional,Connor,canniceo3@sakura.ne.jp,2700,,82371583591293
VendedorProfissional,Conant,cdubocko4@scribd.com,5651,,58613562978078
VendedorProfissional,Tades,tmassingberdo5@mozilla.com,6911,,65887616741292
VendedorAutonomo,Terrill,tallingtono6@ebay.com,3616,12,
VendedorAutonomo,Jackquelin,jpetersono7@tmall.com,6441,10,
VendedorProfissional,Aloin,aandrusyako8@amazon.co.uk,1033,,53916005970121
VendedorAutonomo,Clarence,coldakero9@yellowbook.com,1087,12,
VendedorAutonomo,Wayland,wwoolgeroa@woothemes.com,3450,14,
VendedorAutonomo,Tiler,tbrockelsbyob@washingtonpost.com,3399,1,
VendedorAutonomo,Prince,pbalmannoc@cbslocal.com,1598,4,
VendedorAutonomo,Reade,rbramstomod@friendfeed.com,2751,15,
VendedorAutonomo,Niles,nsherwilloe@last.fm,6278,9,
VendedorAutonomo,Cherri,cunworthof@delicious.com,3184,4,
VendedorProfissional,Wynny,wbilovskyog@independent.co.uk,4499,,10944522618229
VendedorAutonomo,Kirbie,kheephyoh@mit.edu,8671,10,
VendedorProfissional,Cilka,cbroadfieldoi@webeden.co.uk,1016,,87285187464292
VendedorProfissional,Codi,cmerrifieldoj@blogger.com,3128,,84615178851464
VendedorAutonomo,Mariellen,mdybbeok@deliciousdays.com,8358,5,
VendedorAutonomo,Brana,bbroxtonol@skyrock.com,2777,4,
VendedorAutonomo,Cornelius,ccorzorom@i2i.jp,6529,13,
VendedorProfissional,Karola,kfeltenon@newyorker.com,5553,,16933118615353
VendedorProfissional,Alta,ajansonoo@blogtalkradio.com,9066,,54932414175898
VendedorAutonomo,Cornelius,cmoizerop@mit.edu,7348,6,
VendedorAutonomo,Hanan,hvarnhamoq@dot.gov,3244,1,
VendedorProfissional,Lamont,lestableor@youtu.be,7999,,11894632259617
VendedorProfissional,Evanne,elewzeyos@vinaora.com,662,,57803112360756
VendedorProfissional,Elyse,egibbiesonot@opera.com,6815,,35235283050952
VendedorProfissional,Alexi,apignonou@acquirethisname.com,3826,,14278777180413
VendedorAutonomo,Enos,egosneyov@jimdo.com,6677,13,
VendedorAutonomo,Blinnie,bhanbidgeow@woothemes.com,9898,8,
VendedorAutonomo,Pyotr,pmcpolinox@skype.com,6003,10,
VendedorAutonomo,Skippy,smatchettoy@skype.com,8454,6,
VendedorAutonomo,Urbanus,usurpliceoz@admin.ch,9890,3,
VendedorAutonomo,Stephenie,slawtyp0@yellowbook.com,2790,10,
VendedorProfissional,Raynor,rfernleyp1@google.com,1186,,16889898120454
VendedorAutonomo,Orren,okillingworthp2@drupal.org,8501,6,
VendedorProfissional,Sonnnie,svainesp3@ask.com,3498,,53929363872659
VendedorProfissional,Margret,mbottomleyp4@icio.us,1161,,47341135834608
VendedorAutonomo,Clemente,clakentonp5@imgur.com,9520,11,
VendedorProfissional,Tripp,theindrickp6@hugedomains.com,2204,,63389065916191
VendedorProfissional,Babbie,brentollp7@ebay.com,2183,,23243565481211
VendedorAutonomo,Ricki,rjackmanp8@e-recht24.de,2658,5,
VendedorProfissional,Tiertza,tsisselp9@uiuc.edu,9533,,98484284958226
VendedorProfissional,Roldan,rtraverspa@cmu.edu,653,,81016970411851
VendedorAutonomo,Nickie,nhakespb@fotki.com,3714,8,
VendedorProfissional,Marilin,mvenneurpc@answers.com,8192,,66231630217955
VendedorAutonomo,Kayla,kharriskinepd@angelfire.com,8225,9,
VendedorProfissional,Nicolette,nferreype@nationalgeographic.com,1426,,36670211618027
VendedorAutonomo,Merrie,mmcauslenepf@chron.com,8351,15,
VendedorProfissional,Doy,dchristallpg@economist.com,4371,,12415033292211
VendedorAutonomo,Olga,oebbettsph@google.pl,7539,14,
VendedorProfissional,Elia,eoutridgepi@google.com,2516,,64874994312613
VendedorAutonomo,Mariya,mohagirtiepj@csmonitor.com,7376,5,
VendedorProfissional,Huberto,hwinchcumpk@theguardian.com,9256,,74620378047181
VendedorAutonomo,Carolina,cmuscottpl@hud.gov,8529,12,
VendedorAutonomo,Massimo,mskeetepm@wikispaces.com,958,15,
VendedorAutonomo,Byran,bmcmorranpn@list-manage.com,6743,13,
VendedorAutonomo,Elisha,edickinpo@mapquest.com,1885,4,
VendedorProfissional,Hiram,hhitscherpp@behance.net,6114,,34196789659699
VendedorAutonomo,Rycca,rjehupq@51.la,5259,7,
VendedorAutonomo,Calli,cvannarpr@vimeo.com,4464,10,
VendedorProfissional,Rockey,rsaylesps@cargocollective.com,3304,,86466694195733
VendedorAutonomo,Grannie,gwanklinpt@epa.gov,9089,15,
VendedorProfissional,Dodi,djadospu@nbcnews.com,6634,,13151743752753
VendedorAutonomo,Karoline,kthrustlepv@devhub.com,7922,15,
VendedorAutonomo,Aldin,apedraccipw@prlog.org,5821,4,
VendedorProfissional,Thorpe,tleblancpx@dropbox.com,1627,,89510237921243
VendedorAutonomo,Jean,jhassinpy@google.co.jp,4430,15,
VendedorAutonomo,Cristie,cvertypz@nifty.com,9175,11,
VendedorAutonomo,Lovell,lhogginsq0@kickstarter.com,5122,13,
VendedorAutonomo,Jordan,jmckleodq1@issuu.com,7672,7,
VendedorProfissional,Quintina,qcartmanq2@symantec.com,6898,,15778576931065
VendedorAutonomo,Garth,gbiglandq3@oaic.gov.au,5326,10,
VendedorProfissional,Revkah,rshortq4@rakuten.co.jp,8070,,95708581264634
VendedorAutonomo,Bethany,bconyersq5@abc.net.au,3101,9,
VendedorProfissional,Brenda,btabourinq6@blogs.com,8324,,20668384376361
VendedorAutonomo,Emili,elogsdaleq7@techcrunch.com,6938,13,
VendedorAutonomo,Gannon,gchallenerq8@google.fr,9075,8,
VendedorProfissional,Netti,nditchfieldq9@tumblr.com,8556,,57218946863397
VendedorAutonomo,Linda,lpetrassoqa@de.vu,4489,4,
VendedorProfissional,Jacquelyn,jnivenqb@comcast.net,2306,,35204157902876
VendedorProfissional,Lexis,lscurryqc@ca.gov,8136,,74012451209099
VendedorProfissional,Herbert,hyarrantonqd@eepurl.com,8274,,67415781498095
VendedorAutonomo,Rachele,rtwyfordqe@gizmodo.com,5751,9,
VendedorProfissional,Kerry,ksummerleyqf@bloglines.com,7696,,50118394359122
VendedorAutonomo,Janeczka,jlariveqg@ebay.com,5227,10,
VendedorAutonomo,Jennifer,jpuncherqh@paginegialle.it,273,5,
VendedorAutonomo,Marina,mlintheadqi@sfgate.com,6173,14,
VendedorProfissional,Rodolphe,rfaustianqj@businesswire.com,9044,,93106827758227
VendedorAutonomo,Davey,dbogeysqk@globo.com,2592,5,
VendedorProfissional,Kelcey,krivittql@alexa.com,5438,,40450106697474
VendedorProfissional,Maure,mvanderveldtqm@home.pl,1881,,67662715174882
VendedorProfissional,Charlot,cgrenshielsqn@globo.com,1053,,35742999969201
VendedorProfissional,Reinwald,rdegoixqo@salon.com,2523,,25650941434825
VendedorAutonomo,Shaylynn,sdufrayqp@domainmarket.com,4642,14,
VendedorProfissional,Kirk,kblencoeqq@oracle.com,7872,,42568984890384
VendedorProfissional,Stan,smulvaghqr@odnoklassniki.ru,2878,,41054483148179
VendedorAutonomo,Roselia,rmounceyqs@merriam-webster.com,3948,12,
VendedorAutonomo,Eilis,ebarhemqt@who.int,3839,10,
VendedorProfissional,Esmeralda,eboxenqu@chicagotribune.com,110,,62621048857537
VendedorProfissional,Lissy,lmundayqv@rediff.com,3121,,25131313520115
VendedorProfissional,Orlan,ostathorqw@thetimes.co.uk,6270,,28747389071407
VendedorAutonomo,Birdie,bslanyqx@home.pl,3821,13,
VendedorProfissional,Benedikta,bdyballqy@globo.com,6997,,92948346510533
VendedorAutonomo,Barbaraanne,bcapnorqz@china.com.cn,3197,10,
VendedorProfissional,Crissy,cmanserr0@ca.gov,3444,,51058056405379
VendedorAutonomo,Dilan,dwalthallr1@mtv.com,4246,9,
VendedorProfissional,Hadlee,hterringtonr2@npr.org,4722,,58921977705240
VendedorAutonomo,Cristine,cstruijsr3@de.vu,2450,15,
VendedorProfissional,Davida,ddeeganr4@discovery.com,3772,,42098332824038
VendedorAutonomo,Morganica,mhanscomber5@goo.gl,1429,8,
VendedorProfissional,Genny,gpeatr6@cocolog-nifty.com,4573,,96947989345897
VendedorProfissional,Magda,mmaclarenr7@sun.com,9603,,77609429422118
VendedorAutonomo,Emmey,edrewittr8@instagram.com,6211,12,
VendedorProfissional,Verge,vmurdochr9@irs.gov,6769,,16778303131999
VendedorProfissional,Meryl,mbenedettinira@blog.com,4428,,23152291627708
VendedorProfissional,Rosalia,rstquentinrb@unesco.org,4426,,86526622546430
VendedorProfissional,Martie,mcoucherrc@ebay.co.uk,3484,,51475830175263
VendedorProfissional,Clarinda,cebbingrd@telegraph.co.uk,5538,,64102822195800
VendedorAutonomo,Minnaminnie,mwindrassre@howstuffworks.com,8969,9,
VendedorProfissional,Steven,samthorrf@reverbnation.com,8478,,87742389253589
VendedorProfissional,Stephi,starzeyrg@ft.com,370,,51172391547051
VendedorAutonomo,Thomasa,tedgellrh@msn.com,7537,15,
VendedorProfissional,Cristobal,cspinageri@thetimes.co.uk,6520,,44114559489653
VendedorProfissional,Pammi,pmarciskewskirj@examiner.com,3616,,78847947708981
VendedorAutonomo,Gav,gchoudhuryrk@webeden.co.uk,2278,15,
VendedorProfissional,Griz,glinckrl@flavors.me,8742,,37562132933768
VendedorProfissional,Elise,ekarslakerm@marriott.com,7658,,17810270412966
VendedorProfissional,Izzy,iruppelern@howstuffworks.com,5637,,50318941710818
VendedorAutonomo,Algernon,arowterro@about.me,937,15,
VendedorAutonomo,Pierre,pbertramrp@census.gov,9442,12,
VendedorAutonomo,Leontine,ldelhayrq@usa.gov,677,11,
VendedorProfissional,Trevor,tkonradrr@plala.or.jp,9373,,66597288369824
